Proveedor,Razón social,ID de contrato,Producto o servicio,Tipo de contratación,Vigencia,Monto
Agregación/Distribución,Torres,Altura de backhaul,DGCI,Infraestructura Pasiva,Semestral,1
Radiodifusión AM,Sala de Transmisión,"Código identificador, Capacidad Disponible de Aire Acondicionado, Capacidad Total de Aire Acondicionado","DGCI, UCE",Infraestructura Pasiva,Anual,3
Radiodifusión AM,Sistema de tierra,"Código identificador, Tipo, Espacio de Instalación del sistema de tierra",DGCI,Infraestructura Pasiva,Anual,3
Radiodifusión AM,Sitio de Transmisión,"Código identificador, Altura sobre el nivel del mar, Capacidad disponible de Subestación Eléctrica, Capacidad disponible en Planta de Emergencia, Capacidad total de Subestación Eléctrica, Capacidad total en Planta de Emergencia, Espacio disponible, Fuente de Poder Ininterrumpible (UPS), Tipo de Instalación del sistema de tierra","DGCI, UCE",Infraestructura Pasiva,Anual,9
Radiodifusión AM,Torres,"Código identificador, Altura de centros de radiación, Espacio disponible en torre, Uso de la torre",DGCI,Infraestructura Pasiva,Semestral,4
Radiodifusión FM,Antena FM,"Código identificador, Apertura, Distribución, Montaje, Tipo",DGCI,Infraestructura Activa,Semestral,5
Radiodifusión FM,Sala de Transmisión,"Código identificador, Capacidad Disponible de Aire Acondicionado, Capacidad Total de Aire Acondicionado, Espacio disponible, Espacio Total","DGCI, UCE",Infraestructura Pasiva,Anual,5
Radiodifusión FM,Sitio de Transmisión,"Código identificador, Altura sobre el nivel del mar, Capacidad disponible de Subestación Eléctrica, Capacidad disponible en Planta de Emergencia, Capacidad total de Subestación Eléctrica, Capacidad total en Planta de Emergencia, Fuente de Poder Ininterrumpible (UPS), Modalidad de Operación, Superficie disponible del Terreno, Superficie ocupada del Terreno, Superficie total del Terreno","DGCI, UCE",Infraestructura Pasiva,Anual,11
Radiodifusión FM,Torres,"Código identificador, Altura de centros de radiación, Carga Máxima, Espacio disponible, Sección, Tipo de Torre, Uso de la torre, Viento máximo admisible",DGCI,Infraestructura Pasiva,Semestral,8
Radiodifusión TV,Antena TV,"Código identificador, Apertura, Distribución, Montaje, Tipo",DGCI,Infraestructura Activa,Semestral,5
Radiodifusión TV,Sala de Transmisión,"Código identificador, Capacidad Disponible de Aire Acondicionado, Capacidad Total de Aire Acondicionado, Espacio disponible, Espacio Total","DGCI, UCE",Infraestructura Pasiva,Anual,5
Radiodifusión TV,Sitio de Transmisión,"Código identificador, Altura sobre el nivel del mar, Capacidad disponible de Subestación Eléctrica, Capacidad disponible en Planta de Emergencia, Capacidad total de Subestación Eléctrica, Capacidad total en Planta de Emergencia, Fuente de Poder Ininterrumpible (UPS), Modalidad de Operación, Superficie disponible del Terreno, Superficie ocupada del Terreno, Superficie total del Terreno","DGCI, UCE",Infraestructura Pasiva,Anual,11
Radiodifusión TV,Torres,"Código identificador, Altura de centros de radiación, Carga Máxima, Espacio disponible, Sección, Tipo, Viento máximo admisible",DGCI,Infraestructura Pasiva,Semestral,7
Telefonía Fija,Broadband Remote Access Server,"Código identificador, Broadband Remote Access Server, Capacidad, Capacidad","DGRIRST, UCE",Infraestructura Activa,Anual,4
Telefonía Fija,Central TDM,"Código identificador, Capacidad, Capacidad","DGRIRST, UCE",Infraestructura Activa,Anual,3
Telefonía Fija,Central telefónica,"Código identificador, Área de cobertura de las centrales telefónicas, Capacidad, Capacidad","DGRIRST, DGCI, UCE",Infraestructura Activa,Semestral,4
Telefonía Fija,Central Telefónica,"Capacidad Disponible para el servicio de conmutación de circuitos, Capacidad Disponible para el servicio de conmutación de paquetes, Espacio para coubicación externa, Espacio para coubicación interna, Capacidad Instalada para el servicio de conmutación de circuitos, Capacidad Instalada para el servicio de conmutación de circuitos, Numero de puertos ópticos instalados para la red de acceso, Puertos ópticos en servicio, Pares de cobre disponibles, Pares de cobre instalados, Pares de cobre en servicio, Marca, Modelo","DGCI, UCE",Infraestructura Activa,Semestral,13
Telefonía Fija,Ductos,"Código identificador, Área total, Área para el mantenimiento, Área ocupada, Diámetro, Subducto","DGCI, UCE",Derecho de vía,Semestral,6
Telefonía Fija,Enlace de transporte,"Código identificador, Capacidad TX/RX, Jerarquía digital asignada, Redundancia física, Tecnología de transporte, Tipo de enlace","DGRIRST, UCE",Infraestructura Activa,Anual,6
Telefonía Fija,Enlace Satelital,"Código identificador, Ancho de banda por transpondedor, Área de cobertura, Capacidad, Frecuencias soportadas RX, Frecuencias soportadas TX, Numero de Transponders","DGRIRST, UCE",Infraestructura Activa,Anual,7
Telefonía Fija,Fibra óptica,Código identificador,"DGCI, UCE",Medio de Transmisión,Semestral,1
Telefonía Fija,Media Gateway,"Código identificador, Capacidad de los Media Gateways, Capacidad de los Media Gateways","DGRIRST, UCE",Infraestructura Activa,Anual,3
Telefonía Fija,Postes,"Código identificador, Capacidad de carga máxima","DGCI, UCE",Derecho de vía,Semestral,2
